epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.19079,1.05547,1.84392,3.81713,1.15302,0.87767,0.78095,0.90037,0.851,0.87029,0.77485,0.89561,0.6547,0.29567,0.52323,0.88838,0.82625,0.0679429,0.00032381,0.00032381
2,15.4184,0.47677,0.75148,0.98616,0.87013,0.95853,0.94286,0.98522,0.95629,0.96204,0.94762,0.98604,0.78173,0.24749,0.35629,0.41614,0.79696,0.0349428,0.000657103,0.000657103
3,22.5382,0.40479,0.54757,0.57955,0.8381,0.96812,0.98095,0.99127,0.96986,0.96812,0.98095,0.99127,0.82272,0.23345,0.28236,0.29467,0.79233,0.00194262,0.000990234,0.000990234
4,29.7311,0.37794,0.47573,0.45414,0.82455,0.99218,0.97143,0.99204,0.97116,0.99218,0.97143,0.99204,0.82761,0.23202,0.2717,0.23865,0.79317,0.00099945,0.00099945,0.00099945
5,36.856,0.36866,0.43091,0.41348,0.82507,0.98069,0.96877,0.99266,0.96778,0.98545,0.97348,0.99294,0.83206,0.23178,0.25691,0.26292,0.79024,0.000999023,0.000999023,0.000999023
6,43.9377,0.35045,0.41297,0.37627,0.82137,0.97885,0.98095,0.99378,0.97508,0.98794,0.98095,0.99411,0.83753,0.2371,0.26091,0.2447,0.78561,0.000998474,0.000998474,0.000998474
7,51.0511,0.35978,0.41891,0.37213,0.82242,0.9846,0.97873,0.99118,0.97459,0.9846,0.97873,0.99118,0.84974,0.22946,0.25008,0.22964,0.78768,0.000997803,0.000997803,0.000997803
8,58.1897,0.34541,0.38968,0.34634,0.81845,0.98227,0.98814,0.99186,0.97439,0.98227,0.98814,0.99186,0.84611,0.22819,0.24158,0.22168,0.78042,0.000997011,0.000997011,0.000997011
9,65.1942,0.33741,0.37088,0.33806,0.81285,0.97905,0.98058,0.99201,0.98082,0.98379,0.98534,0.99428,0.8512,0.20995,0.22855,0.22346,0.78016,0.000996097,0.000996097,0.000996097
10,72.0943,0.33482,0.37813,0.33724,0.81571,0.98305,0.99048,0.99424,0.98191,0.98305,0.99048,0.99424,0.83977,0.21168,0.24951,0.22914,0.77988,0.000995062,0.000995062,0.000995062
11,79.1349,0.33099,0.37638,0.33264,0.81691,0.98922,0.98979,0.99238,0.98139,0.98922,0.98979,0.99238,0.84822,0.21512,0.23633,0.21067,0.78062,0.000993906,0.000993906,0.000993906
12,86.1162,0.33159,0.37831,0.32284,0.81291,0.98937,0.98515,0.99226,0.98289,0.98937,0.98515,0.99226,0.85063,0.21109,0.22394,0.22026,0.77985,0.000992629,0.000992629,0.000992629
13,93.0941,0.3216,0.36147,0.31765,0.81186,0.9883,0.99042,0.99314,0.98351,0.9883,0.99042,0.99314,0.84531,0.20209,0.22452,0.21564,0.77869,0.000991232,0.000991232,0.000991232
14,100.073,0.32209,0.36192,0.31293,0.81274,0.9894,0.99048,0.99252,0.98116,0.9894,0.99048,0.99252,0.87157,0.2003,0.22369,0.19881,0.78606,0.000989715,0.000989715,0.000989715
15,107.164,0.31851,0.35325,0.30943,0.81494,0.97354,0.98571,0.9931,0.97816,0.98414,0.98269,0.99346,0.86037,0.21208,0.2344,0.21359,0.78749,0.000988079,0.000988079,0.000988079
16,114.199,0.31295,0.35615,0.30126,0.80844,0.97238,0.98571,0.98991,0.98286,0.98735,0.97619,0.99004,0.86644,0.19735,0.2265,0.21768,0.77749,0.000986323,0.000986323,0.000986323
