epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7325,0.19146,0.21616,0.18318,0.78479,0.98802,0.9841,0.99013,0.98781,0.98802,0.9841,0.99013,0.89352,0.1613,0.20235,0.16374,0.77045,0.031345,0.000345,0.000345
2,21.011,0.18612,0.20375,0.17209,0.78492,0.99344,0.99048,0.99114,0.9882,0.99344,0.99048,0.99114,0.89645,0.17632,0.20148,0.16761,0.77643,0.000499878,0.000499878,0.000499878
3,30.4675,0.1898,0.20534,0.16987,0.78507,0.99244,0.98882,0.99214,0.98809,0.99244,0.98882,0.99214,0.89911,0.1655,0.19206,0.16366,0.7732,0.000499512,0.000499512,0.000499512
4,39.4854,0.18465,0.20101,0.17226,0.7802,0.98936,0.98571,0.99152,0.98865,0.98936,0.98571,0.99152,0.90155,0.16958,0.19638,0.16339,0.77385,0.000498902,0.000498902,0.000498902
5,48.6331,0.18773,0.19695,0.1705,0.78065,0.98679,0.9886,0.99148,0.9878,0.98679,0.9886,0.99148,0.90476,0.17541,0.20286,0.17263,0.7728,0.000498048,0.000498048,0.000498048
6,57.7358,0.18929,0.20563,0.17382,0.78444,0.99405,0.98571,0.99176,0.98805,0.99405,0.98571,0.99176,0.9031,0.17307,0.20022,0.17385,0.77296,0.000496953,0.000496953,0.000496953
7,66.7402,0.18874,0.19787,0.17095,0.78113,0.98996,0.99048,0.9931,0.98891,0.98996,0.99048,0.9931,0.90122,0.17252,0.208,0.17116,0.77176,0.000495616,0.000495616,0.000495616
8,75.8477,0.18947,0.197,0.17511,0.78658,0.99418,0.98571,0.99148,0.98783,0.99418,0.98571,0.99148,0.89238,0.1704,0.21109,0.16724,0.77447,0.000494039,0.000494039,0.000494039
9,84.9189,0.1858,0.20199,0.16788,0.78016,0.98483,0.99048,0.9931,0.98932,0.98483,0.99048,0.9931,0.90538,0.1687,0.19613,0.16777,0.7727,0.000492224,0.000492224,0.000492224
10,94.0013,0.1818,0.19815,0.16994,0.78118,0.98427,0.99048,0.99214,0.98995,0.98427,0.99048,0.99214,0.90698,0.1687,0.19421,0.1692,0.77111,0.000490173,0.000490173,0.000490173
